type,name,cost,finish
生信协助,"BSXL231116, 图片修改",3,2/7/2025
思路设计,"BSLL250203, 网络药理学",3,2/7/2025
生信分析,"BSJF250113, 消瘀泄浊饮对糖尿病肾病",16,2/8/2025
生信分析,"BSXG250204, 多酚五种成分与高脂血症网络药理分析",8,2/10/2025
生信协助,"BSJF250113, 线粒体自噬",8,2/11/2025
生信分析,"BSXL240708, 卵巢癌耐药性",16,2/13/2025
模块开发,"BS.develop, 蛋白质之间互作对接",8,2/12/2025
生信协助,"BSJF250113, Pearson相关分析",8,2/20/2025
生信分析,"BSGY240816, 结肠癌",24,2/17/2025
思路设计,"BSCL250212, 结肠癌CALM3",3,2/20/2025
补充分析,"BSXG240327, 肺癌",24,2/24/2025
生信分析,"BSHQ241042, 骨肉瘤ZDHHC",16,2/28/2025
