name,cor,p.value
CTRL,0.40142179508551,0.00147864471067583
PPARG,-0.396094296020941,0.00173145396767204
PFAS,0.385680840202512,0.00233989026854294
GRB7,-0.366139035184751,0.00401380431308961
ITGA6,-0.364736305418862,0.00416714794206608
TMPRSS4,-0.360861694188378,0.00461793072776001
HGF,0.359769001335894,0.00475259268329224
KLK6,-0.358504658017645,0.00491271729151309
TMPRSS2,-0.350486949311325,0.0060432536141989
POLD1,0.347646018529389,0.00649538320534905
PIK3CG,0.345160337174747,0.0069150016768962
ITGAM,0.337614516718499,0.00833748571416804
PIK3CD,0.32773768033379,0.0105800842838294
MMP9,0.325553374832609,0.0111412448746868
CTRC,0.325330433801259,0.0111999416254103
TMPRSS11A,0.323221008112453,0.0117686841351391
ELANE,0.309533353204189,0.0161005923817602
MAOA,-0.307258329778185,0.0169390945593227
MMP2,0.305720648260012,0.0175267352289856
TGFB1,0.303556868931924,0.0183830629456915
PRSS8,-0.297411413242053,0.0210120785373893
CCR3,0.295928128396129,0.0216923775019763
ST14,-0.289855751912742,0.0246753655641688
MPO,0.288483706225202,0.0253952906656892
AHR,-0.282618950013948,0.0286752528542473
IFNG,0.281090878580423,0.0295859313762943
MYBL2,0.27965115791756,0.0304659950778618
CST6,-0.272051266667594,0.0354823398920438
BCL2L2,-0.270528154745202,0.0365660334794099
PRKCB,0.269869209364793,0.0370433094665966
TPO,0.269384606942384,0.0373975949214612
NR3C2,-0.268956585281137,0.0377128462900999
BAX,0.266812909618728,0.0393250343372412
GSTM1,0.263914268807054,0.0415952275693002
NQO1,-0.261238659338403,0.0437856073959048
ERCC1,0.260476599232385,0.0444265357056489
SLC22A5,-0.258219755051244,0.0463700036013319
FUT1,-0.256435872104649,0.0479550333679784
BCL2L1,-0.256340959762148,0.0480405925995348
